domain,model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
Climate,chronos2,42,0.9580436667249207,0.7117093989423036,235.92458809539676,42,26.11811454040428,28.829060105769642,27.409389154999978,42,1.2967233588656213,293.2159882802516
Finance,chronos2,3,3.022744073553584,0.9051626934009026,8.677668947726488,3,4.3861671147300445,9.483730659909739,9.204543043791084,3,3.1614087442563563,89.73111864645034
Energy,chronos2,6,0.611204170856088,0.6105618611977047,14.627613514661789,6,37.42964924921866,38.94381388022953,37.18247378256468,6,0.9768271450011902,17.899827868677676
Healthcare,chronos2,1,2.687638735307393,0.6352501786041488,0.23642339929938316,1,36.47498213958512,36.47498213958512,36.47498213958512,1,4.230835072275004,0.980701144784689
Economics,chronos2,8,1.1266165765973748,0.6588118639283429,1.848541285842657,8,25.392246136777608,34.11881360716571,30.755497246171107,8,1.5100529345284794,2.0936404392123222
Transport,chronos2,5,0.6739529592639684,0.7435129857632642,5.527879014611244,5,25.514414355949246,25.648701423673582,25.53141279884067,5,0.9048099084360193,13.582426626235247
Industry,chronos2,3,0.7112449102497985,0.7096220145537652,3.0206383895128965,3,29.03810091193244,29.037798544623485,29.037467292852728,3,1.0022912568434859,11.921295890584588
Sales,chronos2,3,0.6643116271025303,0.46229546950403494,1.60266057215631,3,53.12095019137853,53.77045304959651,52.36853488720521,3,1.417075708263092,3.8961679004132748
Unclassified,chronos2,2,0.6960750459951832,0.6798500647645618,67.04604299366474,2,32.028543432513445,32.01499352354382,32.013835645951445,2,1.0240696332644776,119.49597810022533
Cloud operations,chronos2,1,0.6607650521734936,0.5936503488136183,1.5239718463271856,1,40.63496511863816,40.63496511863816,40.63496511863816,1,1.1130542641708217,5.367972842417657
Sales,seasonal_naive,3,1.417075708263092,1.0,3.8961679004132748,3,0.0,0.0,0.0,3,1.417075708263092,3.8961679004132748
Climate,seasonal_naive,42,1.2967233588656213,1.0,293.2159882802516,42,0.0,0.0,0.0,42,1.2967233588656213,293.2159882802516
Finance,seasonal_naive,3,3.1614087442563563,1.0,89.73111864645034,3,0.0,0.0,0.0,3,3.1614087442563563,89.73111864645034
Energy,seasonal_naive,6,0.9768271450011902,1.0,17.899827868677676,6,0.0,0.0,0.0,6,0.9768271450011902,17.899827868677676
Economics,seasonal_naive,8,1.5100529345284794,1.0,2.0936404392123222,8,0.0,0.0,0.0,8,1.5100529345284794,2.0936404392123222
Transport,seasonal_naive,5,0.9048099084360193,1.0,13.582426626235247,5,0.0,0.0,0.0,5,0.9048099084360193,13.582426626235247
Industry,seasonal_naive,3,1.0022912568434859,1.0,11.921295890584588,3,0.0,0.0,0.0,3,1.0022912568434859,11.921295890584588
Unclassified,seasonal_naive,2,1.0240696332644776,1.0,119.49597810022533,2,0.0,0.0,0.0,2,1.0240696332644776,119.49597810022533
Cloud operations,seasonal_naive,1,1.1130542641708217,1.0,5.367972842417657,1,0.0,0.0,0.0,1,1.1130542641708217,5.367972842417657
Healthcare,seasonal_naive,1,4.230835072275004,1.0,0.980701144784689,1,0.0,0.0,0.0,1,4.230835072275004,0.980701144784689
