domain,chronos2__experiment_config.instance_normalization-none,chronos2__experiment_config.instance_normalization-zscore,chronos_bolt__experiment_config.instance_normalization-none,chronos_bolt__experiment_config.instance_normalization-zscore,seasonal_naive,ts_icl__experiment_config.instance_normalization-none,ts_icl__experiment_config.instance_normalization-zscore
Climate,1.0394593210642906,1.039459349528885,1.167269048051964,1.167267441901867,1.3941340377094578,1.0813619495025295,1.0813618951120512
Cloud operations,0.6607650521734936,0.6607650592212252,0.7729739710685387,0.7729739745845665,1.1130542641708217,0.6951977394287573,0.6951977277956157
Economics,1.089231263749338,1.0892314200328626,1.2702632906862332,1.2702633642677867,1.4634204534099007,1.1079549530667625,1.1079552055596933
Energy,0.611204170856088,0.6112041731818025,0.6828042556430926,0.6828042424661627,0.97682714500119,0.6378228099425765,0.637822810031419
Finance,2.105951660476022,2.1059515607938186,2.2252155357275716,2.2252154551831542,2.4620012924491834,2.139228071410839,2.1392279449382348
Healthcare,2.466688194255598,2.4666883048769397,2.5918883050948867,2.5918882764518574,3.1056180707235863,2.7058053376806956,2.7058052777549815
Industry,0.7112449102497985,0.7112449105582526,0.7148023421857621,0.7148023429270282,1.0022912568434856,0.7120479562903183,0.7120479553853997
Sales,0.6505512713280388,0.6505512671402808,0.6637809208253372,0.6637809207654302,1.4686212064144784,0.6772577335019458,0.6772577338240041
Transport,0.5931928626683382,0.5931928661990893,0.6493323554116637,0.649332346637192,0.9291833143028868,0.6278199202360067,0.6278199226434018
Unclassified,0.6960750459951832,0.6960750449433302,0.7973766782604312,0.7973766795772208,1.0240696332644776,0.7355799924016022,0.7355799920295394
