domain,model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
Climate,chronos2__experiment_config.instance_normalization-none,51,1.0394593210642906,0.7175059673406494,235.54760108329356,51,25.44050335560939,28.249403265935058,26.906578784278363,51,1.394134037709458,296.32633063942194
Climate,chronos2__experiment_config.instance_normalization-zscore,51,1.039459349528885,0.7175059884314495,235.16467418149114,51,25.440501313869234,28.249401156855047,26.906576897621438,51,1.394134037709458,296.32633063942194
Climate,chronos_bolt__experiment_config.instance_normalization-none,51,1.167269048051964,0.8075665325768292,314.3375224452466,51,16.27282481605784,19.24334674231708,17.479508980246145,51,1.394134037709458,296.32633063942194
Climate,chronos_bolt__experiment_config.instance_normalization-zscore,51,1.167267441901867,0.8075653667423168,321.6569219911471,51,16.272940023782045,19.243463325768317,17.47964836094786,51,1.394134037709458,296.32633063942194
Climate,ts_icl__experiment_config.instance_normalization-none,51,1.0813619495025295,0.7521763213968419,1619.7481286064722,51,22.43486492308935,24.782367860315812,23.522704839103636,51,1.394134037709458,296.32633063942194
Climate,ts_icl__experiment_config.instance_normalization-zscore,51,1.0813618951120512,0.752176277656344,1622.8786744065583,51,22.4348688244702,24.782372234365603,23.52270957246891,51,1.394134037709458,296.32633063942194
Economics,chronos2__experiment_config.instance_normalization-none,11,1.089231263749338,0.6744807840945368,2.3627252634614706,11,25.569492949799113,32.551921590546314,29.959358551030608,11,1.4634204534099007,3.016891285777092
Economics,chronos2__experiment_config.instance_normalization-zscore,11,1.0892314200328626,0.6744808145199213,2.3691036086529493,11,25.569482270467393,32.551918548007876,29.959353804798095,11,1.4634204534099007,3.016891285777092
Economics,chronos_bolt__experiment_config.instance_normalization-none,11,1.2702632906862332,0.7693060483420933,3.664529426023364,11,13.199020300255748,23.069395165790674,18.946837538651433,11,1.4634204534099007,3.016891285777092
Economics,chronos_bolt__experiment_config.instance_normalization-zscore,11,1.2702633642677867,0.7693060671982674,3.3299206364899874,11,13.199015272202919,23.069393280173255,18.946834479463618,11,1.4634204534099007,3.016891285777092
