domain,model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
Climate,chronos2,42,0.9580436919717902,0.7117094166699361,1190.9341592304409,42,26.118112593430066,28.829058333006387,27.409387568057316,42,1.2967233588656213,293.2159882802516
Finance,chronos2,3,3.022744145069163,0.9051627212338736,302.2320477999747,3,4.386164852587293,9.483727876612635,9.204540292173595,3,3.1614087442563563,89.73111864645034
Energy,chronos2,6,0.6112041718196045,0.6105618614768359,146.48455441370606,6,37.42964915058131,38.94381385231641,37.182473681850986,6,0.9768271450011902,17.899827868677676
Healthcare,chronos2,1,2.687638982050807,0.6352502369244118,0.24679360911250114,1,36.47497630755881,36.47497630755881,36.47497630755881,1,4.230835072275004,0.980701144784689
Economics,chronos2,8,1.1266165527453684,0.6588118358487529,2.941168040037155,8,25.3922477163253,34.11881641512471,30.75549985251844,8,1.5100529345284794,2.0936404392123222
Transport,chronos2,5,0.6739529605596617,0.7435129872465153,14.769981721416116,5,25.514414212748626,25.648701275348472,25.531412645368157,5,0.9048099084360193,13.582426626235247
Industry,chronos2,3,0.7112449104102471,0.7096220147138648,14.285614563152194,3,29.038100895924256,29.03779852861352,29.037467276998978,3,1.0022912568434859,11.921295890584588
Sales,chronos2,3,0.6643116330816352,0.4622954735472791,54.680869994685054,3,53.1209497694459,53.770452645272094,52.3685344560252,3,1.417075708263092,3.8961679004132748
Unclassified,chronos2,2,0.696075044643941,0.6798500634014427,200.45930569432676,2,32.02854356446173,32.014993659855726,32.01383578307603,2,1.0240696332644776,119.49597810022533
Cloud operations,chronos2,1,0.660765043626459,0.5936503411347164,3.7951691672205925,1,40.63496588652836,40.63496588652836,40.63496588652836,1,1.1130542641708217,5.367972842417657
Industry,seasonal_naive,3,1.0022912568434856,1.0,11.921295890584588,3,0.0,0.0,0.0,3,1.0022912568434856,11.921295890584588
Economics,seasonal_naive,8,1.5100529345284794,1.0,2.0936404392123222,8,0.0,0.0,0.0,8,1.5100529345284794,2.0936404392123222
Climate,seasonal_naive,42,1.2967233588656213,1.0,293.2159882802516,42,0.0,0.0,0.0,42,1.2967233588656213,293.2159882802516
Unclassified,seasonal_naive,2,1.0240696332644776,1.0,119.49597810022533,2,0.0,0.0,0.0,2,1.0240696332644776,119.49597810022533
Transport,seasonal_naive,5,0.9048099084360193,1.0,13.582426626235247,5,0.0,0.0,0.0,5,0.9048099084360193,13.582426626235247
Energy,seasonal_naive,6,0.9768271450011902,1.0,17.899827868677676,6,0.0,0.0,0.0,6,0.9768271450011902,17.899827868677676
Finance,seasonal_naive,3,3.1614087442563563,1.0,89.73111864645034,3,0.0,0.0,0.0,3,3.1614087442563563,89.73111864645034
Cloud operations,seasonal_naive,1,1.1130542641708217,1.0,5.367972842417657,1,0.0,0.0,0.0,1,1.1130542641708217,5.367972842417657
Sales,seasonal_naive,3,1.417075708263092,1.0,3.8961679004132748,3,0.0,0.0,0.0,3,1.417075708263092,3.8961679004132748
Healthcare,seasonal_naive,1,4.230835072275004,1.0,0.980701144784689,1,0.0,0.0,0.0,1,4.230835072275004,0.980701144784689
