domain,model,tasks,mean_task_MASE,scaled_MASE,total_inference_seconds,timed_tasks,relative_improvement_percent,relative_scaled_improvement_percent,mean_paired_improvement_percent,paired_percentage_tasks,reference_mean_loss,reference_total_inference_seconds
Climate,chronos2,51,1.0394593210642906,0.7175059673406494,239.87001717463136,51,25.44050335560939,28.249403265935058,26.906578784278363,51,1.394134037709458,296.32633063942194
Climate,chronos_bolt,51,1.167269048051964,0.8075665325768292,309.8831438217312,51,16.27282481605784,19.24334674231708,17.479508980246145,51,1.394134037709458,296.32633063942194
Climate,ts_icl,51,1.0813619495025295,0.7521763213968419,1612.5416173101403,51,22.43486492308935,24.782367860315812,23.522704839103636,51,1.394134037709458,296.32633063942194
Economics,chronos2,11,1.089231263749338,0.6744807840945368,2.6532104294747114,11,25.569492949799113,32.551921590546314,29.959358551030608,11,1.4634204534099007,3.016891285777092
Economics,chronos_bolt,11,1.2702632906862332,0.7693060483420933,3.331608524546027,11,13.199020300255748,23.069395165790674,18.946837538651433,11,1.4634204534099007,3.016891285777092
Economics,ts_icl,11,1.1079549530667625,0.7064677651287852,11.371669985353947,11,24.290045934158687,29.353223487121483,26.828476339383954,11,1.4634204534099007,3.016891285777092
Finance,chronos2,6,2.105951660476022,0.7807226447918029,12.6277537047863,6,14.461797118675157,21.927735520819713,20.915851984567013,6,2.462001292449183,94.96876367274672
Finance,chronos_bolt,6,2.2252155357275716,0.8184711858652598,7.917189231142402,6,9.617613014575577,18.15288141347402,16.92893348797216,6,2.462001292449183,94.96876367274672
Finance,ts_icl,6,2.139228071410839,0.7866148462328061,61.81174680124968,6,13.110197059127094,21.338515376719393,20.176744115840673,6,2.462001292449183,94.96876367274672
Healthcare,chronos2,3,2.466688194255598,0.8203072945551647,0.7409004922956228,3,20.573356475837436,17.96927054448353,16.67310154458274,3,3.1056180707235863,1.3902119044214487
Healthcare,chronos_bolt,3,2.5918883050948867,0.8427264524642858,1.0451165083795786,3,16.541949265158816,15.72735475357142,14.70341745670175,3,3.1056180707235863,1.3902119044214487
Healthcare,ts_icl,3,2.7058053376806956,0.9234010303559199,4.737083534244448,3,12.873853897615206,7.659896964408008,5.337591158766341,3,3.1056180707235863,1.3902119044214487
Energy,chronos2,6,0.611204170856088,0.6105618611977047,14.627613514661789,6,37.42964924921866,38.94381388022953,37.18247378256468,6,0.9768271450011902,17.899827868677676
Energy,chronos_bolt,6,0.6828042556430926,0.6843068249146774,16.6241514403373,6,30.099786933924666,31.569317508532258,30.07710139638937,6,0.9768271450011902,17.899827868677676
Energy,ts_icl,6,0.6378228099425765,0.6406460051573719,71.32744718156755,6,34.704639074930775,35.93539948426281,34.5668507360058,6,0.9768271450011902,17.899827868677676
Transport,chronos2,11,0.5931928626683382,0.6296840039875741,95.1547521147877,11,36.15975948584732,37.03159960124259,35.797675238708344,11,0.9291833143028868,100.27181351650506
Transport,chronos_bolt,11,0.6493323554116637,0.6878208887597586,90.79972773045301,11,30.117949233858056,31.217911124024145,30.21188506725986,11,0.9291833143028868,100.27181351650506
Transport,ts_icl,11,0.6278199202360067,0.6669921278573406,489.43284903792664,11,32.43314741321801,33.30078721426594,32.328835955110804,11,0.9291833143028868,100.27181351650506
